participant_id,household_size,contact_home,contact_work,contact_school,contact_transport,contact_leisure,contact_other,gender_female,gender_male,age_adult,age_elderly,age_young,age_years
25,4,1,0,0,0,0,0,0,1,0,1,0,84
25,4,1,0,0,0,0,0,0,1,0,0,1,9
26,3,0,0,0,0,0,1,0,1,1,0,0,37
26,3,1,0,0,0,0,0,0,1,1,0,0,38
26,3,0,0,0,0,0,1,0,1,1,0,0,37
26,3,1,0,0,0,0,0,0,1,1,0,0,70
26,3,1,0,0,0,0,0,0,1,1,0,0,27
26,3,1,0,0,0,0,0,0,1,1,0,0,33
26,3,0,0,0,0,0,1,0,1,1,0,0,37
26,3,1,0,0,0,0,0,0,1,1,0,0,60
26,3,1,0,0,0,0,0,0,1,1,0,0,29
27,4,0,0,1,0,0,0,1,0,0,0,1,8
27,4,0,0,1,0,0,0,1,0,0,0,1,10
27,4,0,0,1,0,0,0,1,0,0,0,1,10
27,4,0,0,1,0,0,0,1,0,0,0,1,10
27,4,0,0,1,0,0,0,1,0,0,0,1,9
27,4,0,0,1,0,0,0,1,0,0,0,1,9
27,4,0,0,1,0,0,0,1,0,0,0,1,8
27,4,0,0,1,0,0,0,1,0,0,0,1,8
27,4,0,0,1,0,0,0,1,0,0,0,1,8
27,4,0,0,1,0,0,0,1,0,0,0,1,9
27,4,0,0,1,0,0,0,1,0,1,0,0,40
27,4,0,0,1,0,0,0,1,0,0,0,1,9
27,4,0,0,1,0,0,0,1,0,0,0,1,9
27,4,0,0,1,0,1,0,1,0,0,0,1,8
27,4,0,0,1,0,0,0,1,0,0,0,1,8
27,4,0,0,1,0,0,0,1,0,0,0,1,8
28,4,0,0,0,0,1,0,1,0,1,0,0,22
28,4,1,0,0,0,0,0,1,0,0,0,1,8
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,1,0,0,0,0,0,1,0,1,0,0,41
28,4,0,0,0,0,0,0,1,0,1,0,0,32
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,0,0,1,0,0,0,1,0,0,0,1,5
28,4,1,0,0,0,0,0,1,0,1,0,0,42
28,4,0,0,0,0,0,0,1,0,1,0,0,37
28,4,0,0,1,0,0,0,1,0,0,0,1,5
29,4,0,0,1,0,0,0,0,1,0,0,1,6
29,4,0,0,1,0,0,0,0,1,0,0,1,6
29,4,1,0,0,0,0,0,0,1,1,0,0,57
29,4,0,0,1,0,0,0,0,1,1,0,0,35
